Name;Type;Category;Power;Accuracy;PP;Effect
Aerial Ace;Flying;Physical;60;inf;20;Ignores Accuracy and Evasiveness.
Air Cutter;Flying;Special;60;95.0;25;High critical hit ratio.
Arm Thrust;Fighting;Physical;15;100.0;20;Hits 2-5 times in one turn.
Aromatherapy;Grass;Status;;;5;Cures all status problems in your party.
Assist;Normal;Status;;;20;User performs a move known by its allies at random.
Astonish;Ghost;Physical;30;100;15;May cause flinching.
Blast Burn;Fire;Special;150;90;5;User must recharge next turn.
Blaze Kick;Fire;Physical;85;90;10;High critical hit ratio. May burn opponent.
Block;Normal;Status;;;5;Opponent cannot flee or switch.
Bounce;Flying;Physical;85;85;5;Springs up on first turn, attacks on second. May paralyze opponent.
Brick Break;Fighting;Physical;75;100;15;Breaks through Reflect and Light Screen barriers.
Bulk Up;Fighting;Status;;;20;Raises user's Attack and Defense.
Bullet Seed;Grass;Physical;25;100;30;Hits 2-5 times in one turn.
Calm Mind;Psychic;Status;;;20;Raises user's Special Attack and Special Defense.
Camouflage;Normal;Status;;;20;Changes user's type according to the location.
Charge;Electric;Status;;;20;Raises user's Special Defense and next Electric move's power increases.
Cosmic Power;Psychic;Status;;;20;Raises user's Defense and Special Defense.
Covet;Normal;Physical;60;100;25;Opponent's item is stolen by the user.
Crush Claw;Normal;Physical;75;95;10;May lower opponent's Defense.
Dive;Water;Physical;80;100;10;Dives underwater on first turn, attacks on second turn.
Doom Desire;Steel;Special;140;100;5;Damage occurs 2 turns later.
Dragon Claw;Dragon;Physical;80;100;15;
Dragon Dance;Dragon;Status;;;20;Raises user's Attack and Speed.
Endeavor;Normal;Physical;;100;5;Reduces opponent's HP to same as user's.
Eruption;Fire;Special;150;100;5;Stronger when the user's HP is higher.
Extrasensory;Psychic;Special;80;100;20;May cause flinching.
Facade;Normal;Physical;70;100;20;Power doubles if user is burned, poisoned, or paralyzed.
Fake Out;Normal;Physical;40;100;10;User attacks first, foe flinches. Only usable on first turn.
Fake Tears;Dark;Status;;100;20;Sharply lowers opponent's Special Defense.
