;Move;Lvl;PreEvol;HM;TM;Egg;Tutor;TR;Pokemon
0;Tackle;1;False;;;False;False;;Bulbasaur
1;Growl;3;False;;;False;False;;Bulbasaur
2;Leech Seed;7;False;;;False;False;;Bulbasaur
3;Vine Whip;9;False;;;False;False;;Bulbasaur
4;PoisonPowder;13;False;;;False;False;;Bulbasaur
5;Sleep Powder;13;False;;;False;False;;Bulbasaur
6;Take Down;15;False;;;False;False;;Bulbasaur
7;Razor Leaf;19;False;;;False;False;;Bulbasaur
8;Sweet Scent;21;False;;;False;False;;Bulbasaur
9;Growth;25;False;;;False;False;;Bulbasaur
10;Double-Edge;27;False;;;False;False;;Bulbasaur
11;Worry Seed;31;False;;;False;False;;Bulbasaur
12;Synthesis;33;False;;;False;False;;Bulbasaur
13;Seed Bomb;37;False;;;False;False;;Bulbasaur
14;Cut;;False;01;;False;False;;Bulbasaur
15;Strength;;False;04;;False;False;;Bulbasaur
16;Toxic;;False;;06;False;False;;Bulbasaur
17;Venoshock;;False;;09;False;False;;Bulbasaur
18;Hidden Power;;False;;10;False;False;;Bulbasaur
19;Sunny Day;;False;;11;False;False;;Bulbasaur
20;Light Screen;;False;;16;False;False;;Bulbasaur
21;Protect;;False;;17;False;False;;Bulbasaur
22;Safeguard;;False;;20;False;False;;Bulbasaur
23;Frustration;;False;;21;False;False;;Bulbasaur
24;SolarBeam;;False;;22;False;False;;Bulbasaur
25;Return;;False;;27;False;False;;Bulbasaur
26;Double Team;;False;;32;False;False;;Bulbasaur
27;Sludge Bomb;;False;;36;False;False;;Bulbasaur
28;Facade;;False;;42;False;False;;Bulbasaur
29;Rest;;False;;44;False;False;;Bulbasaur
30;Attract;;False;;45;False;False;;Bulbasaur
31;Round;;False;;48;False;False;;Bulbasaur
32;Echoed Voice;;False;;49;False;False;;Bulbasaur
33;Energy Ball;;False;;53;False;False;;Bulbasaur
34;Flash;;False;;70;False;False;;Bulbasaur
35;Swords Dance;;False;;75;False;False;;Bulbasaur
36;Grass Knot;;False;;86;False;False;;Bulbasaur
37;Swagger;;False;;87;False;False;;Bulbasaur
38;Substitute;;False;;90;False;False;;Bulbasaur
39;Rock Smash;;False;;94;False;False;;Bulbasaur
40;Amnesia;;False;;;True;False;;Bulbasaur
41;Charm;;False;;;True;False;;Bulbasaur
42;Curse;;False;;;True;False;;Bulbasaur
43;Endure;;False;;;True;False;;Bulbasaur
44;Giga Drain;;False;;;True;False;;Bulbasaur
45;GrassWhistle;;False;;;True;False;;Bulbasaur
46;Ingrain;;False;;;True;False;;Bulbasaur
47;Leaf Storm;;False;;;True;False;;Bulbasaur
48;Magical Leaf;;False;;;True;False;;Bulbasaur
49;Nature Power;;False;;;True;False;;Bulbasaur
50;Petal Dance;;False;;;True;False;;Bulbasaur
51;Power Whip;;False;;;True;False;;Bulbasaur
52;Skull Bash;;False;;;True;False;;Bulbasaur
53;Sludge;;False;;;True;False;;Bulbasaur
54;Grass Pledge;;False;;;False;True;;Bulbasaur
55;Air Slash;1;False;;;False;False;;Charizard
56;Dragon Claw;1;False;;02;False;False;;Charizard
57;Ember;1;False;;;False;False;;Charizard
