;Lvl;PreEvol;HM;TM;Egg;Tutor;Move;TR;Pokemon
0;1;False;;;False;False;Growl;;Charmander
1;1;False;;;False;False;Scratch;;Charmander
2;4;False;;;False;False;Ember;;Charmander
3;8;False;;;False;False;Smokescreen;;Charmander
4;12;False;;;False;False;Dragon Breath;;Charmander
5;17;False;;08;False;False;Fire Fang;;Charmander
6;20;False;;;False;False;Slash;;Charmander
7;24;False;;125;False;False;Flamethrower;;Charmander
8;28;False;;06;False;False;Scary Face;;Charmander
9;32;False;;24;False;False;Fire Spin;;Charmander
10;36;False;;;False;False;Inferno;;Charmander
11;40;False;;165;False;False;Flare Blitz;;Charmander
12;;False;;01;False;False;Take Down;;Charmander
13;;False;;07;False;False;Protect;;Charmander
14;;False;;25;False;False;Facade;;Charmander
15;;False;;31;True;False;Metal Claw;;Charmander
16;;False;;32;False;False;Swift;;Charmander
17;;False;;36;False;False;Rock Tomb;;Charmander
18;;False;;38;False;False;Flame Charge;;Charmander
19;;False;;43;False;False;Fling;;Charmander
20;;False;;44;True;False;Dragon Tail;;Charmander
21;;False;;47;False;False;Endure;;Charmander
22;;False;;49;False;False;Sunny Day;;Charmander
23;;False;;55;False;False;Dig;;Charmander
24;;False;;57;False;False;False Swipe;;Charmander
25;;False;;58;False;False;Brick Break;;Charmander
26;;False;;61;False;False;Shadow Claw;;Charmander
27;;False;;66;False;False;Body Slam;;Charmander
28;;False;;67;False;False;Fire Punch;;Charmander
29;;False;;68;False;False;Thunder Punch;;Charmander
30;;False;;70;False;False;Sleep Talk;;Charmander
31;;False;;78;False;False;Dragon Claw;;Charmander
32;;False;;85;False;False;Rest;;Charmander
33;;False;;86;False;False;Rock Slide;;Charmander
34;;False;;88;False;False;Swords Dance;;Charmander
35;;False;;100;False;False;Dragon Dance;;Charmander
36;;False;;103;False;False;Substitute;;Charmander
37;;False;;107;False;False;Will-O-Wisp;;Charmander
38;;False;;108;False;False;Crunch;;Charmander
39;;False;;115;False;False;Dragon Pulse;;Charmander
40;;False;;118;False;False;Heat Wave;;Charmander
41;;False;;130;False;False;Helping Hand;;Charmander
42;;False;;141;False;False;Fire Blast;;Charmander
43;;False;;144;False;False;Fire Pledge;;Charmander
44;;False;;156;False;False;Outrage;;Charmander
45;;False;;157;False;False;Overheat;;Charmander
46;;False;;158;False;False;Focus Blast;;Charmander
47;;False;;171;False;False;Tera Blast;;Charmander
48;;False;;;True;False;Ancient Power;;Charmander
49;;False;;;True;False;Belly Drum;;Charmander
50;;False;;;True;False;Bite;;Charmander
51;;False;;;True;False;Counter;;Charmander
52;;False;;;True;False;Dragon Rush;;Charmander
53;;False;;;True;False;Iron Tail;;Charmander
54;1;False;;;False;False;Ember;;Charmeleon
55;1;False;;;False;False;Growl;;Charmeleon
56;1;False;;;False;False;Scratch;;Charmeleon
57;1;False;;;False;False;Smokescreen;;Charmeleon
58;12;False;;;False;False;Dragon Breath;;Charmeleon
59;19;False;;08;False;False;Fire Fang;;Charmeleon
60;24;False;;;False;False;Slash;;Charmeleon
61;30;False;;125;False;False;Flamethrower;;Charmeleon
62;37;False;;06;False;False;Scary Face;;Charmeleon
63;48;False;;;False;False;Inferno;;Charmeleon
64;54;False;;165;False;False;Flare Blitz;;Charmeleon
